lat,lon,name,type
48.8442685,2.3310313,Otacos,Fastfood
48.8383152,2.2578229,Mcdonalds,Fastfood
48.870959,2.3477192,Mcdonalds,Fastfood
48.8822632,2.3705591,Mcdonalds,Fastfood
48.8469061,2.2850171,Mcdonalds,Fastfood
48.8579329,2.351487,Mcdonalds,Fastfood
48.8307218,2.3566884,Mcdonalds,Fastfood
48.8307708,2.3567939,Kfc,Fastfood
48.8795777,2.3630134,Pandafastfood,Fastfood
48.829518,2.3227055,Gourmetdalésia,Fastfood
48.8676055,2.3623607,Mcdonalds,Fastfood
48.8676948,2.3622183,Kfc,Fastfood
48.8677893,2.3620618,Burgerking,Fastfood
48.8662257,2.3686351,Frenchkarib,Fastfood
48.8654797,2.3747464,Mcdonalds,Fastfood
48.8670613,2.3836164,Kfc,Fastfood
48.8670436,2.3824226,Mcdonalds,Fastfood
48.8460777,2.3542886,Chaudslessandwichs,Fastfood
48.8445017,2.3247331,Mcdonalds,Fastfood
48.8259948,2.3570144,Mcdonalds,Fastfood
48.8462601,2.3787226,Minibouffe,Fastfood
48.8366655,2.3506956,Mcdonalds,Fastfood
48.8332009,2.3318037,Mcdonalds,Fastfood
48.8738345,2.384842,Mcdonalds,Fastfood
48.8381479,2.396609,Lagazelledorient,Fastfood
48.8374673,2.2956006,Mcdonalds,Fastfood
48.8646486,2.4083438,Mcdonalds,Fastfood
48.8354775,2.4060799,Mcdonalds,Fastfood
48.8206897,2.3639393,Mcdonalds,Fastfood
48.8518769,2.4008958,Lebosphore,Fastfood
48.8319092,2.3145268,Déliceszhonghua,Fastfood
48.8362289,2.3950798,Chronopizza,Fastfood
48.8463781,2.3796937,Meixi,Fastfood
48.8466733,2.3823365,Sefaantalya,Fastfood
48.843692,2.3879237,Sandwichsvietnamiens,Fastfood
48.8501888,2.3787984,Deniz,Fastfood
48.8506115,2.3813881,Bibimcup,Fastfood
48.8495128,2.3751307,Ôsaveurbar,Fastfood
48.8466535,2.3736929,Sanswichscity,Fastfood
48.8484928,2.3740738,Lecoq,Fastfood
48.8477171,2.3873421,Beyaz,Fastfood
48.8471159,2.3736501,Istambulayasofya,Fastfood
48.8458024,2.3747494,Laparisienne,Fastfood
48.8462223,2.3743814,Bodrum,Fastfood
48.8466746,2.3729742,Traiteurdelagare,Fastfood
